usuario_id;ip_usuario;fecha_envio;genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factores_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;seleccion_carrera;otra_carrera
217a1c4a48b83448a6674364d239da8f;186.42.120.206;14/03/2024 09:17;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En una Universidad y/o Escuela Politécnica;Pública;Habilidades e interés personal en el tema,Oportunidades laborales y demanda en el mercado,Flexibilidad y posibilidad de trabajo remoto;De acuerdo;Neutral;Estoy interesado;Estoy interesado;Neutral;Estoy interesado;Neutral;No estoy interesado;Conozco algo;He oido del tema;He oido del tema;Conozco algo;He oido del tema;Conozco algo;He oido del tema;Ciencia de Datos e Inteligencia Artificial,Software,Ciencias de la Computación,Electrónica y Telecomunicaciones;NULL
ac3d709f870657c58e7ff9f243c6e366;186.42.120.206;14/03/2024 09:17;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;"Unidad Educativa ""Mario Cobo Barona""";En un Instituto Militar y/o Policial;Exterior (fuera del país);Habilidades e interés personal en el tema;Totalmente de acuerdo;Poco interesado;No estoy interesado;No estoy interesado;No estoy interesado;No estoy interesado;Poco interesado;NULL;Conozco algo;Conozco algo;He oido del tema;Conozco algo;Conozco algo;He oido del tema;Conozco algo;NULL;Militar
dcdcc444dd0f0253c86d7ff5407fc7c7;181.196.104.10;14/03/2024 09:18;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona ;En una Universidad y/o Escuela Politécnica;Exterior (fuera del país);Habilidades e interés personal en el tema;De acuerdo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Tengo un conocimiento Solido;Conozco algo;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo conocimientos básicos;Conozco algo;Conozco algo;Ciencia de Datos e Inteligencia Artificial;NULL
1461e523a22b2d22088357858c0b1160;186.42.120.206;14/03/2024 09:18;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Militar y/o Policial;Pública;Oportunidades laborales y demanda en el mercado,Habilidades e interés personal en el tema;De acuerdo;Estoy interesado;Neutral;Estoy interesado;Estoy interesado;NULL;Estoy interesado;Estoy muy interesado;Tengo conocimientos básicos;Conozco algo;He oido del tema;Conozco algo;Tengo conocimientos básicos;Tengo conocimientos básicos;No tengo conocimiento;Automatización y Robótica,Ciencia de Datos e Inteligencia Artificial;NULL
c3e58130ccf083da9b8d8b10bb55ee3c;186.42.120.206;14/03/2024 09:18;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Militar y/o Policial;Pública;Oportunidades laborales y demanda en el mercado;De acuerdo;Poco interesado;Neutral;No estoy interesado;Estoy interesado;Poco interesado;Poco interesado;Neutral;Conozco algo;Conozco algo;He oido del tema;He oido del tema;Conozco algo;He oido del tema;No tengo conocimiento;Automatización y Robótica,Ingeniería Industrial;NULL
04b2404c4b1339d7a2d8a878c772f0d8;181.196.104.10;14/03/2024 09:20;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;En un Instituto Técnico/Tecnológico Superior;Pública;Habilidades e interés personal en el tema;Neutral;Estoy interesado;Estoy interesado;No estoy interesado;No estoy interesado;Estoy interesado;Neutral;Estoy interesado;Conozco algo;Conozco algo;Conozco algo;Tengo conocimientos básicos;Conozco algo;Conozco algo;Conozco algo;Automatización y Robótica;NULL
2326ec8efb98908656d48a76508b1761;181.196.104.10;14/03/2024 09:31;Masculino;17;Tungurahua;Ambato;Fiscal;mario cobo barona ;En un Instituto Militar y/o Policial;Pública;Recomendación de familiares o amigos;Totalmente de acuerdo;No estoy interesado;Poco interesado;Neutral;No estoy interesado;No estoy interesado;Poco interesado;Poco interesado;He oido del tema;No tengo conocimiento;He oido del tema;Conozco algo;Conozco algo;He oido del tema;No tengo conocimiento;Ninguna;militar
06a2164098de42004c43c14561f5fe2b;186.42.120.206;14/03/2024 09:32;Femenino;16 o menos;Tungurahua;Ambato;NULL;mario cobo barona;Aún no lo he decidido;Exterior (fuera del país);Oportunidades laborales y demanda en el mercado,Flexibilidad y posibilidad de trabajo remoto,Habilidades e interés personal en el tema;Totalmente de acuerdo;Estoy interesado;Estoy interesado;Neutral;Estoy interesado;NULL;Neutral;Estoy interesado;No tengo conocimiento;No tengo conocimiento;No tengo conocimiento;No tengo conocimiento;No tengo conocimiento;No tengo conocimiento;No tengo conocimiento;Automatización y Robótica;NULL
0c2a4590b6026369d0d2844bc61ab1b6;181.196.104.10;14/03/2024 09:32;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Mario Cobo Barona;Aún no lo he decidido;Exterior (fuera del país);Habilidades e interés personal en el tema,Oportunidades laborales y demanda en el mercado,Flexibilidad y posibilidad de trabajo remoto;Totalmente de acuerdo;Neutral;No estoy interesado;No estoy interesado;Poco interesado;Estoy interesado;No estoy interesado;No estoy interesado;He oido del tema;No tengo conocimiento;No tengo conocimiento;No tengo conocimiento;Conozco algo;No tengo conocimiento;No tengo conocimiento;Ciencia de Datos e Inteligencia Artificial;NULL
ba5268c46573e7b9d33a6db4a2091482;186.42.120.206;14/03/2024 09:33;Masculino;NULL;Tungurahua;Mocha;Fiscal;MARIO COBO BARONA;En un Instituto Militar y/o Policial;Exterior (fuera del país);Flexibilidad y posibilidad de trabajo remoto;De acuerdo;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy interesado;NULL;Estoy muy interesado;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;NULL;Tengo un conocimiento Solido;Electrónica y Telecomunicaciones;NULL
